,name,nationality,current_name,previous_year_rank,sport,year,earnings_$_million
0,Mike Tyson,USA,1,,BOXING,1990-01-01,28.6
1,Buster Douglas,USA,2,,BOXING,1990-01-01,26.0
2,Sugar Ray Leonard,USA,3,,BOXING,1990-01-01,13.0
3,Ayrton Senna,Brazil,4,,AUTO RACING,1990-01-01,10.0
4,Alain Prost,France,5,,AUTO RACING,1990-01-01,9.0
5,Jack Nicklaus,USA,6,,GOLF,1990-01-01,8.6
6,Greg Norman,Australia,7,,GOLF,1990-01-01,8.5
7,Michael Jordan,USA,8,,BASKETBALL,1990-01-01,8.1
8,Arnold Palmer,USA,8,,GOLF,1990-01-01,8.1
9,Evander Holyfield,USA,8,,BOXING,1990-01-01,8.1
10,Evander Holyfield,USA,1,8,BOXING,1991-01-01,60.5
11,Mike Tyson,USA,2,1,BOXING,1991-01-01,31.5
12,Michael Jordan,USA,3,8,BASKETBALL,1991-01-01,16.0
13,George Foreman,USA,4,>30,BOXING,1991-01-01,14.5
14,Ayrton Senna,Brazil,5,4,AUTO RACING,1991-01-01,13.0
15,Alain Prost,France,6,5,AUTO RACING,1991-01-01,11.0
16,"Donovan ""Razor"" Ruddock",Canada,7,>30,BOXING,1991-01-01,10.2
17,Arnold Palmer,USA,8,8,GOLF,1991-01-01,9.3
18,Nigel Mansell,UK,9,12,AUTO RACING,1991-01-01,9.0
19,Sugar Ray Leonard,USA,10,6,GOLF,1991-01-01,8.5
20,Michael Jordan,USA,1,3,BASKETBALL,1992-01-01,35.9
21,Evander Holyfield,USA,2,1,BOXING,1992-01-01,28.0
22,Ayrton Senna,Brazil,3,5,AUTO RACING,1992-01-01,22.0
23,Nigel Mansell,UK,4,9,AUTO RACING,1992-01-01,14.5
24,Arnold Palmer,USA,5,8,GOLF,1992-01-01,11.1
25,Andre Agassi,USA,6,17,TENNIS,1992-01-01,11.0
26,Joe Montana,USA,7,13,NFL,1992-01-01,9.5
27,Sugar Ray Leonard,USA,8,10,GOLF,1992-01-01,9.2
28,Jim Courier,USA,9,>40,TENNIS,1992-01-01,9.0
29,Monica Seles,USA,10,12,TENNIS,1992-01-01,8.5
30,Michael Jordan,USA,1,1,BASKETBALL,1993-01-01,36.0
31,Riddick Bowe,USA,2,>40,BOXING,1993-01-01,25.0
32,Ayrton Senna,Brazil,3,3,AUTO RACING,1993-01-01,18.5
33,Alain Prost,France,4,>40,AUTO RACING,1993-01-01,16.0
34,George Foreman,USA,5,19,BOXING,1993-01-01,15.8
35,Shaquille O'Neal,USA,6,>40,NBA,1993-01-01,15.2
36,Lennox Lewis,USA,7,>40,BOXING,1993-01-01,15.0
